Sanity: VQ-VAE latent should be [B, 64, 4, 4] -> (64, 64, 4, 4)
Sanity: VQ-VAE token map should be [B, 4, 4] -> (64, 4, 4)
{'epoch': 27, 'step': 25, 'loss': 0.015764353796839714, 'perplexity': 213.3921356201172, 'dead_codes': 0, 'recon_mse': 0.0022566576953977346, 'codebook_loss': 0.010806156322360039, 'commitment_loss': 0.010806156322360039, 'quantization_gap': 0.6915940046310425}
{'epoch': 27, 'step': 50, 'loss': 0.0164372269064188, 'perplexity': 184.9612274169922, 'dead_codes': 0, 'recon_mse': 0.0024920045398175716, 'codebook_loss': 0.011156177148222923, 'commitment_loss': 0.011156177148222923, 'quantization_gap': 0.7139953374862671}
{'epoch': 28, 'step': 0, 'loss': 0.017144493758678436, 'perplexity': 215.8386688232422, 'dead_codes': 1, 'recon_mse': 0.0024556065909564495, 'codebook_loss': 0.01175110973417759, 'commitment_loss': 0.01175110973417759, 'quantization_gap': 0.7520710229873657}
{'epoch': 28, 'step': 25, 'loss': 0.014035871252417564, 'perplexity': 210.9087677001953, 'dead_codes': 1, 'recon_mse': 0.0024999501183629036, 'codebook_loss': 0.009228737093508244, 'commitment_loss': 0.009228737093508244, 'quantization_gap': 0.5906391143798828}
{'epoch': 28, 'step': 50, 'loss': 0.016464892774820328, 'perplexity': 207.14181518554688, 'dead_codes': 0, 'recon_mse': 0.0025771535001695156, 'codebook_loss': 0.01111019030213356, 'commitment_loss': 0.01111019030213356, 'quantization_gap': 0.7110521793365479}
{'epoch': 29, 'step': 0, 'loss': 0.014572735875844955, 'perplexity': 183.34613037109375, 'dead_codes': 4, 'recon_mse': 0.002291126176714897, 'codebook_loss': 0.009825287386775017, 'commitment_loss': 0.009825287386775017, 'quantization_gap': 0.6288183927536011}
{'epoch': 29, 'step': 25, 'loss': 0.015002017840743065, 'perplexity': 214.5109100341797, 'dead_codes': 0, 'recon_mse': 0.0024724151007831097, 'codebook_loss': 0.010023681446909904, 'commitment_loss': 0.010023681446909904, 'quantization_gap': 0.6415156126022339}
{'epoch': 29, 'step': 50, 'loss': 0.012602762319147587, 'perplexity': 202.99464416503906, 'dead_codes': 0, 'recon_mse': 0.002274598926305771, 'codebook_loss': 0.008262530900537968, 'commitment_loss': 0.008262530900537968, 'quantization_gap': 0.5288019776344299}
{'epoch': 30, 'step': 0, 'loss': 0.013100812211632729, 'perplexity': 214.65005493164062, 'dead_codes': 1, 'recon_mse': 0.002098764991387725, 'codebook_loss': 0.008801637217402458, 'commitment_loss': 0.008801637217402458, 'quantization_gap': 0.5633048415184021}
{'epoch': 30, 'step': 25, 'loss': 0.011896115727722645, 'perplexity': 202.52069091796875, 'dead_codes': 0, 'recon_mse': 0.002017748076468706, 'codebook_loss': 0.007902693934738636, 'commitment_loss': 0.007902693934738636, 'quantization_gap': 0.5057724118232727}
{'epoch': 30, 'step': 50, 'loss': 0.014737806282937527, 'perplexity': 213.31158447265625, 'dead_codes': 0, 'recon_mse': 0.0026179365813732147, 'codebook_loss': 0.009695895947515965, 'commitment_loss': 0.009695895947515965, 'quantization_gap': 0.6205373406410217}
{'epoch': 31, 'step': 0, 'loss': 0.014775706455111504, 'perplexity': 210.40782165527344, 'dead_codes': 1, 'recon_mse': 0.0025671578478068113, 'codebook_loss': 0.009766838513314724, 'commitment_loss': 0.009766838513314724, 'quantization_gap': 0.6250776648521423}
{'epoch': 31, 'step': 25, 'loss': 0.016542483121156693, 'perplexity': 207.06675720214844, 'dead_codes': 2, 'recon_mse': 0.0023345183581113815, 'codebook_loss': 0.011366371065378189, 'commitment_loss': 0.011366371065378189, 'quantization_gap': 0.7274477481842041}
{'epoch': 31, 'step': 50, 'loss': 0.015880750492215157, 'perplexity': 211.0040283203125, 'dead_codes': 0, 'recon_mse': 0.0023375737946480513, 'codebook_loss': 0.01083454117178917, 'commitment_loss': 0.01083454117178917, 'quantization_gap': 0.6934106349945068}
{'epoch': 32, 'step': 0, 'loss': 0.016994789242744446, 'perplexity': 214.10621643066406, 'dead_codes': 2, 'recon_mse': 0.002306121401488781, 'codebook_loss': 0.011750934645533562, 'commitment_loss': 0.011750934645533562, 'quantization_gap': 0.752059817314148}
{'epoch': 32, 'step': 25, 'loss': 0.01297033578157425, 'perplexity': 216.8876190185547, 'dead_codes': 0, 'recon_mse': 0.0024714756291359663, 'codebook_loss': 0.008399087935686111, 'commitment_loss': 0.008399087935686111, 'quantization_gap': 0.5375416278839111}
{'epoch': 32, 'step': 50, 'loss': 0.012950727716088295, 'perplexity': 205.85487365722656, 'dead_codes': 0, 'recon_mse': 0.002096553798764944, 'codebook_loss': 0.008683339692652225, 'commitment_loss': 0.008683339692652225, 'quantization_gap': 0.5557337403297424}
{'epoch': 33, 'step': 0, 'loss': 0.013017839752137661, 'perplexity': 210.6391143798828, 'dead_codes': 2, 'recon_mse': 0.002248737495392561, 'codebook_loss': 0.00861528143286705, 'commitment_loss': 0.00861528143286705, 'quantization_gap': 0.5513780117034912}
